NTAX,STRHT,SRATE,NCHR,REPL,MTHD,DOLLO,SECS
10,2000000,1e-06,10000,16,dollo-cdp-fast,12412,1.52
10,2000000,1e-06,10000,16,paup-dollo-hsearch-first,12412,0.228
10,2000000,1e-06,10000,16,paup-dollo-hsearch,12412,0.228
10,2000000,1e-06,10000,17,paup-dollo-fast-hsearch-first,12387,0.747
10,2000000,1e-06,10000,17,dollo-cdp-fast,12387,1.4220000000000002
10,2000000,1e-06,10000,17,paup-dollo-hsearch-first,12387,0.765
10,2000000,1e-06,10000,17,paup-dollo-hsearch,12387,0.765
10,2000000,1e-06,10000,18,paup-dollo-fast-hsearch-first,11695,0.81
10,2000000,1e-06,10000,18,dollo-cdp-fast,11695,1.492
10,2000000,1e-06,10000,18,paup-dollo-hsearch-first,11695,0.804
10,2000000,1e-06,10000,18,paup-dollo-hsearch,11695,0.804
10,2000000,1e-06,10000,19,paup-dollo-fast-hsearch-first,11895,0.769
10,2000000,1e-06,10000,19,dollo-cdp-fast,11895,1.432
10,2000000,1e-06,10000,19,paup-dollo-hsearch-first,11895,0.78
10,2000000,1e-06,10000,19,paup-dollo-hsearch,11895,0.78
10,2000000,1e-06,10000,20,paup-dollo-fast-hsearch-first,12580,0.832
10,2000000,1e-06,10000,20,dollo-cdp-fast,12580,1.615
10,2000000,1e-06,10000,20,paup-dollo-hsearch-first,12580,0.842
10,2000000,1e-06,10000,20,paup-dollo-hsearch,12580,0.842
