MODL,NCHR,REPL,MTHD,DOLLO
Palaeognathae,5000,Rep17,paup-dollo-hsearch-first,6356
Palaeognathae,5000,Rep18,dollo-cdp-fast,6174
Palaeognathae,5000,Rep18,paup-dollo-bnb-first,6174
Palaeognathae,5000,Rep18,paup-dollo-fast-hsearch-first,6174
Palaeognathae,5000,Rep18,paup-dollo-hsearch-first,6174
Palaeognathae,5000,Rep19,dollo-cdp-fast,6237
Palaeognathae,5000,Rep19,paup-dollo-bnb-first,6237
Palaeognathae,5000,Rep19,paup-dollo-fast-hsearch-first,6237
Palaeognathae,5000,Rep19,paup-dollo-hsearch-first,6237
Palaeognathae,5000,Rep1,dollo-cdp-fast,6278
Palaeognathae,5000,Rep1,paup-dollo-bnb-first,6278
Palaeognathae,5000,Rep1,paup-dollo-fast-hsearch-first,6278
Palaeognathae,5000,Rep1,paup-dollo-hsearch-first,6278
Palaeognathae,5000,Rep20,dollo-cdp-fast,6255
Palaeognathae,5000,Rep20,paup-dollo-bnb-first,6255
Palaeognathae,5000,Rep20,paup-dollo-fast-hsearch-first,6255
Palaeognathae,5000,Rep20,paup-dollo-hsearch-first,6255
Palaeognathae,5000,Rep21,dollo-cdp-fast,6255
Palaeognathae,5000,Rep21,paup-dollo-bnb-first,6255
Palaeognathae,5000,Rep21,paup-dollo-fast-hsearch-first,6255
Palaeognathae,5000,Rep21,paup-dollo-hsearch-first,6255
Palaeognathae,5000,Rep22,dollo-cdp-fast,6231
Palaeognathae,5000,Rep22,paup-dollo-bnb-first,6231
Palaeognathae,5000,Rep22,paup-dollo-fast-hsearch-first,6231
Palaeognathae,5000,Rep22,paup-dollo-hsearch-first,6231
Palaeognathae,5000,Rep23,dollo-cdp-fast,6271
Palaeognathae,5000,Rep23,paup-dollo-bnb-first,6271
Palaeognathae,5000,Rep23,paup-dollo-fast-hsearch-first,6271
Palaeognathae,5000,Rep23,paup-dollo-hsearch-first,6271
Palaeognathae,5000,Rep24,dollo-cdp-fast,6226
Palaeognathae,5000,Rep24,paup-dollo-bnb-first,6226
Palaeognathae,5000,Rep24,paup-dollo-fast-hsearch-first,6226
Palaeognathae,5000,Rep24,paup-dollo-hsearch-first,6226
Palaeognathae,5000,Rep25,dollo-cdp-fast,6238
Palaeognathae,5000,Rep25,paup-dollo-bnb-first,6238
Palaeognathae,5000,Rep25,paup-dollo-fast-hsearch-first,6238
Palaeognathae,5000,Rep25,paup-dollo-hsearch-first,6238
Palaeognathae,5000,Rep2,dollo-cdp-fast,6282
Palaeognathae,5000,Rep2,paup-dollo-bnb-first,6282
Palaeognathae,5000,Rep2,paup-dollo-fast-hsearch-first,6282
Palaeognathae,5000,Rep2,paup-dollo-hsearch-first,6282
Palaeognathae,5000,Rep3,dollo-cdp-fast,6266
Palaeognathae,5000,Rep3,paup-dollo-bnb-first,6266
Palaeognathae,5000,Rep3,paup-dollo-fast-hsearch-first,6266
Palaeognathae,5000,Rep3,paup-dollo-hsearch-first,6266
Palaeognathae,5000,Rep4,dollo-cdp-fast,6257
Palaeognathae,5000,Rep4,paup-dollo-bnb-first,6257
Palaeognathae,5000,Rep4,paup-dollo-fast-hsearch-first,6257
Palaeognathae,5000,Rep4,paup-dollo-hsearch-first,6257
Palaeognathae,5000,Rep5,dollo-cdp-fast,6250
Palaeognathae,5000,Rep5,paup-dollo-bnb-first,6250
Palaeognathae,5000,Rep5,paup-dollo-fast-hsearch-first,6250
Palaeognathae,5000,Rep5,paup-dollo-hsearch-first,6250
Palaeognathae,5000,Rep6,dollo-cdp-fast,6207
Palaeognathae,5000,Rep6,paup-dollo-bnb-first,6207
Palaeognathae,5000,Rep6,paup-dollo-fast-hsearch-first,6207
Palaeognathae,5000,Rep6,paup-dollo-hsearch-first,6207
Palaeognathae,5000,Rep7,dollo-cdp-fast,6185
Palaeognathae,5000,Rep7,paup-dollo-bnb-first,6185
Palaeognathae,5000,Rep7,paup-dollo-fast-hsearch-first,6185
Palaeognathae,5000,Rep7,paup-dollo-hsearch-first,6185
Palaeognathae,5000,Rep8,dollo-cdp-fast,6262
Palaeognathae,5000,Rep8,paup-dollo-bnb-first,6262
Palaeognathae,5000,Rep8,paup-dollo-fast-hsearch-first,6262
Palaeognathae,5000,Rep8,paup-dollo-hsearch-first,6262
Palaeognathae,5000,Rep9,dollo-cdp-fast,6237
Palaeognathae,5000,Rep9,paup-dollo-bnb-first,6237
Palaeognathae,5000,Rep9,paup-dollo-fast-hsearch-first,6237
Palaeognathae,5000,Rep9,paup-dollo-hsearch-first,6237
Palaeognathae,500,Rep10,dollo-cdp-fast,586
Palaeognathae,500,Rep10,paup-dollo-bnb-first,586
Palaeognathae,500,Rep10,paup-dollo-fast-hsearch-first,586
Palaeognathae,500,Rep10,paup-dollo-hsearch-first,586
Palaeognathae,500,Rep11,dollo-cdp-fast,616
Palaeognathae,500,Rep11,paup-dollo-bnb-first,616
Palaeognathae,500,Rep11,paup-dollo-fast-hsearch-first,616
Palaeognathae,500,Rep11,paup-dollo-hsearch-first,616
Palaeognathae,500,Rep12,dollo-cdp-fast,638
Palaeognathae,500,Rep12,paup-dollo-bnb-first,638
